year,geo_name,geo,pop_2ormore,pop_2ormore_moe,pop_asian,pop_asian_moe,pop_black,pop_black_moe,pop_hawaiian,pop_hawaiian_moe,pop_latino,pop_latino_moe,pop_native,pop_native_moe,pop_other,pop_other_moe,pop_white,pop_white_moe
2013,"Florida","04000US12",318066.0,13534.0,499376.0,6535.0,3020030.0,13099.0,6808.0,1964.0,4619320.0,0.0,39440.0,2984.0,57437.0,8084.0,10992400.0,6011.0
2014,"Florida","04000US12",335497.0,15233.0,517141.0,7333.0,3083880.0,12180.0,13361.0,2897.0,4788870.0,0.0,38726.0,3193.0,59892.0,7604.0,11055900.0,7320.0
2015,"Florida","04000US12",357188.0,16431.0,534389.0,8822.0,3145620.0,13813.0,9616.0,2152.0,4962900.0,1011.0,33659.0,3564.0,57413.0,6689.0,11170500.0,5912.0
2016,"Florida","04000US12",381530.0,17713.0,550606.0,7178.0,3162470.0,17985.0,10290.0,2163.0,5126580.0,555.0,38654.0,3286.0,70928.0,8151.0,11271400.0,6014.0
