room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,property_type,last_modified,latitude,longitude,location
18803681,1419,130900102,Shared room,,Salvador,SALVADOR,ITAPOA,0,0.0,12,1.0,,152.0,,Praia de Aleluia HostelHotel,Hostel,2017-07-01 20:50:26.692004,-12.926803,-38.320854,0101000020E610000038656EBE112943C05CAB3DEC85DA29C0
16707671,1419,41731932,Shared room,,Salvador,SALVADOR,VITORIA,0,0.0,2,1.0,,156.0,,Quarto duplo Carnaval  farol Barra,House,2017-07-01 20:50:26.688721,-13.008737,-38.528173,0101000020E6100000ABD0402C9B4343C0C287122D79042AC0
10338338,1419,53202632,Shared room,,Salvador,SALVADOR,VITORIA,0,0.0,4,1.0,,134.0,,Aluga-se quartos para Carnaval,Apartment,2017-07-01 20:50:25.088033,-12.992967,-38.522741,0101000020E6100000A1A3552DE94243C0B403AE2B66FC29C0
9754339,1419,50218279,Shared room,,Salvador,SALVADOR,BROTAS,0,0.0,1,1.0,,125.0,,Cantinho,House,2017-07-01 20:50:25.084710,-12.980776,-38.493835,0101000020E6100000614F3BFC353F43C04567994528F629C0
761909,1419,4015918,Shared room,,Salvador,SALVADOR,VITORIA,0,0.0,4,1.0,,107.0,,Carnival Week with Free Drinks,Bed & Breakfast,2017-07-01 20:50:21.919775,-13.003505,-38.531992,0101000020E6100000E8DD5850184443C0B6BE4868CB012AC0
3124087,1419,3683316,Shared room,,Salvador,SALVADOR,ITAPOA,0,0.0,6,1.0,,106.0,,APARTMENT SALVADOR,Apartment,2017-07-01 20:50:21.912515,-12.949581,-38.409272,0101000020E610000092955F06633443C053CE177B2FE629C0
17297756,1419,23280107,Shared room,,Salvador,SALVADOR,BROTAS,0,0.0,6,1.0,,84.0,,Casa de Arigoffe-Quartos compartilhados(Ar cond.)2,Hostel,2017-07-01 20:50:20.315963,-13.006519,-38.488744,0101000020E6100000E00ED4298F3E43C0F29A577556032AC0
908545,1419,4648279,Shared room,,Salvador,SALVADOR,VITORIA,0,0.0,1,1.0,,63.0,,divido quarto salvador,Apartment,2017-07-01 20:50:15.000350,-12.991835,-38.521198,0101000020E6100000CC5EB69DB64243C06B0E10CCD1FB29C0
16828596,1419,111985610,Shared room,,Salvador,SALVADOR,AMARALINA,1,0.0,10,1.0,,78.0,,Apartamento amplo de luxo 5Q 5B,Apartment,2017-07-01 20:50:14.998001,-12.994299,-38.445489,0101000020E610000027DD96C8053943C019E42EC214FD29C0
2457024,1419,4666994,Shared room,,Salvador,LAURO DE FREITAS,LAURO DE FREITAS,0,0.0,3,1.0,,78.0,,Praia  acomodação e bem estar,Bed & Breakfast,2017-07-01 20:50:14.990521,-12.875739,-38.354035,0101000020E6100000D751D504512D43C0DAA9B9DC60C029C0
2574745,1419,13184446,Shared room,,Salvador,SALVADOR,SAO CAETANO,0,0.0,4,1.0,,78.0,,Nearest Room World Cup,Loft,2017-07-01 20:50:14.986496,-12.966225,-38.462718,0101000020E6100000A1A2EA573A3B43C0BB270F0BB5EE29C0
